         98616 function calls (96118 primitive calls) in 0.224 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.002    0.002 _char_codes.py:1(<module>)
       39    0.000    0.000    0.002    0.000 typing.py:521(__getitem__)
      334    0.001    0.000    0.002    0.000 functools.py:35(update_wrapper)
        1    0.000    0.000    0.002    0.002 _globals.py:1(<module>)
    45/12    0.000    0.000    0.002    0.000 typing.py:1326(_determine_new_args)
      139    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:615(_get_cached)
       39    0.000    0.000    0.002    0.000 typing.py:753(Literal)
    45/12    0.000    0.000    0.002    0.000 typing.py:1355(_make_substitution)
       14    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1648(_fill_cache)
     1868    0.002    0.000    0.002    0.000 typing.py:1630(<genexpr>)
       14    0.002    0.000    0.002    0.000 {built-in method posix.listdir}
     1096    0.001    0.000    0.002    0.000 typing.py:1215(__setattr__)
       11    0.001    0.000    0.002    0.000 __init__.py:355(namedtuple)
       14    0.000    0.000    0.002    0.000 core.py:115(doc_note)
        1    0.000    0.000    0.002    0.002 ipaddress.py:1(<module>)
        1    0.000    0.000    0.002    0.002 getlimits.py:162(_register_known_types)
      530    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:372(release)
     5500    0.002    0.000    0.002    0.000 {built-in method builtins.getattr}
    10918    0.002    0.000    0.002    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.002    0.002 extras.py:1(<module>)
      160    0.001    0.000    0.002    0.000 typing.py:262(_collect_parameters)
       13    0.000    0.000    0.002    0.000 _parser.py:969(parse)
        1    0.000    0.000    0.002    0.002 _ufunc_config.py:1(<module>)
        6    0.000    0.000    0.002    0.000 getlimits.py:34(__init__)
      530    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
      298    0.001    0.000    0.002    0.000 typing.py:175(_type_check)
      586    0.001    0.000    0.002    0.000 _inspect.py:65(getargs)
    20/13    0.000    0.000    0.002    0.000 _parser.py:452(_parse_sub)
        1    0.000    0.000    0.001    0.001 defchararray.py:1(<module>)
       28    0.001    0.000    0.001    0.000 inspect.py:882(cleandoc)
1116/1111    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x5561cb3677a0}
      139    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1592(_get_spec)
    20/13    0.001    0.000    0.001    0.000 _parser.py:512(_parse)
        1    0.000    0.000    0.001    0.001 twodim_base.py:1(<module>)
      283    0.000    0.000    0.001    0.000 typing.py:730(<genexpr>)
      313    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1473(_path_importer_cache)
      157    0.000    0.000    0.001    0.000 typing.py:1174(__init__)
        1    0.000    0.000    0.001    0.001 type_check.py:1(<module>)
     1373    0.001    0.000    0.001    0.000 typing.py:1161(_is_dunder)
       13    0.000    0.000    0.001    0.000 _compiler.py:578(_code)
     1935    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:1171(exec_module)
       36    0.000    0.000    0.001    0.000 getlimits.py:111(_float_to_str)
        1    0.000    0.000    0.001    0.001 <frozen ntpath>:1(<module>)
        1    0.000    0.000    0.001    0.001 _pocketfft.py:1(<module>)
       12    0.000    0.000    0.001    0.000 typing.py:1589(copy_with)
      228    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
       20    0.000    0.000    0.001    0.000 <frozen abc>:105(__new__)
        1    0.000    0.000    0.001    0.001 base64.py:1(<module>)
       10    0.000    0.000    0.001    0.000 extras.py:233(__init__)
       10    0.000    0.000    0.001    0.000 extras.py:237(getdoc)
        5    0.000    0.000    0.001    0.000 typing.py:2814(__new__)
       11    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
      139    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:806(spec_from_file_location)
    41/13    0.000    0.000    0.001    0.000 _compiler.py:37(_compile)
       18    0.000    0.000    0.001    0.000 arrayprint.py:1595(_array_str_implementation)
       55    0.000    0.000    0.001    0.000 typing.py:345(_remove_dups_flatten)
       27    0.000    0.000    0.001    0.000 typing.py:1074(_generic_class_getitem)
      152    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:420(__exit__)
       18    0.000    0.000    0.001    0.000 arrayprint.py:506(wrapper)
       14    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1460(_path_hooks)
       18    0.001    0.000    0.001    0.000 arrayprint.py:1588(_guarded_repr_or_str)
        1    0.000    0.000    0.001    0.001 datetime.py:1(<module>)
      530    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:74(__new__)
        1    0.000    0.000    0.001    0.001 hashlib.py:1(<module>)
       33    0.000    0.000    0.001    0.000 typing.py:1417(copy_with)
        5    0.000    0.000    0.001    0.000 typing.py:2795(_make_nmtuple)
     1773    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
      114    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1206(path_stats)
       14    0.000    0.000    0.001    0.000 hashlib.py:126(__get_openssl_constructor)
5184/5142    0.001    0.000    0.001    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.001    0.001 ctypeslib.py:1(<module>)
     2116    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
        1    0.000    0.000    0.001    0.001 ipaddress.py:2382(_IPv6Constants)
     3326    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
       35    0.000    0.000    0.001    0.000 ipaddress.py:2306(__init__)
       94    0.000    0.000    0.001    0.000 typing.py:317(_deduplicate)
        1    0.000    0.000    0.001    0.001 platform.py:1(<module>)
        1    0.000    0.000    0.001    0.001 struct.py:1(<module>)
